"xs" "ys" "goodcol" "goodcex" "goodpch" "goodbg"
"1" 31.019594818997 948.121224028685 4 2 21 4
"2" 42.9757555629359 930.880691586031 4 2 21 4
"3" 42.9757555629359 909.661574733533 4 2 21 4
"4" 39.9867153769512 897.725821504003 4 2 21 4
"5" 42.9757555629359 883.137678667911 4 2 21 4
"6" 45.9647957489206 871.201925438381 4 2 21 4
"7" 42.9757555629359 860.592367012132 4 2 21 4
"8" 36.0013284623049 852.635198192446 4 2 21 4
"9" 34.0086350049817 885.790068274473 4 2 21 4
"10" 39.9867153769512 892.421042290879 4 2 21 4
"11" 41.9794088342743 905.68299032369 4 2 21 4
"12" 36.0013284623049 930.880691586031 4 2 21 4
"13" 102.75655928263 777.042094405423 4 2 21 4
"14" 93.7894387246762 775.715899602142 4 2 21 4
"15" 92.7930919960146 791.630237241515 4 2 21 4
"16" 97.7748256393225 803.565990471045 4 2 21 4
"17" 97.7748256393225 820.806522913699 4 2 21 4
"18" 91.796745267353 826.111302126823 4 2 21 4
"19" 91.796745267353 836.720860553072 4 2 21 4
"20" 95.7821321819993 852.635198192446 4 2 21 4
"21" 97.7748256393225 859.266172208851 4 2 21 4
"22" 101.760212553969 860.592367012132 4 2 21 4
"23" 107.738292925938 856.613782602289 4 2 21 4
"24" 109.730986383261 843.351834569478 4 2 21 4
"25" 114.712720026569 828.763691733386 4 2 21 4
"26" 119.694453669877 818.154133307137 4 2 21 4
"27" 121.6871471272 812.849354094012 4 2 21 4
"28" 123.679840584523 807.544574880888 4 2 21 4
"29" 126.668880770508 796.935016454639 4 2 21 4
"30" 133.643307871139 786.32545802839 4 2 21 4
"31" 137.628694785785 786.32545802839 4 2 21 4
"32" 140.61773497177 778.368289208704 4 2 21 4
"33" 145.599468615078 778.368289208704 4 2 21 4
"34" 141.614081700432 773.063509995579 4 2 21 4
"35" 141.614081700432 773.063509995579 4 2 21 4
"36" 141.614081700432 786.32545802839 4 2 21 4
"37" 141.614081700432 798.26121125792 4 2 21 4
"38" 144.603121886416 808.870769684169 4 2 21 4
"39" 139.621388243109 816.827938503856 4 2 21 4
"40" 141.614081700432 820.806522913699 4 2 21 4
"41" 144.603121886416 832.742276143229 4 2 21 4
"42" 140.61773497177 834.06847094651 4 2 21 4
"43" 144.603121886416 842.025639766197 4 2 21 4
"44" 142.610428429093 848.656613782602 4 2 21 4
"45" 137.628694785785 848.656613782602 4 2 21 4
"46" 139.621388243109 856.613782602289 4 2 21 4
"47" 141.614081700432 859.266172208851 4 2 21 4
"48" 141.614081700432 864.570951421976 4 2 21 4
"49" 143.606775157755 864.570951421976 4 2 21 4
"50" 181.467950846895 698.796601011838 4 2 21 4
"51" 187.446031218864 705.427575028243 4 2 21 4
"52" 181.467950846895 716.037133454492 4 2 21 4
"53" 187.446031218864 726.646691880741 4 2 21 4
"54" 187.446031218864 731.951471093865 4 2 21 4
"55" 183.460644304218 743.887224323395 4 2 21 4
"56" 197.40949850548 738.582445110271 4 2 21 4
"57" 206.376619063434 738.582445110271 4 2 21 4
"58" 216.34008635005 741.234834716833 4 2 21 4
"59" 219.329126536035 741.234834716833 4 2 21 4
"60" 201.394885420126 745.213419126676 4 2 21 4
"61" 187.446031218864 743.887224323395 4 2 21 4
"62" 182.464297575556 746.539613929957 4 2 21 4
"63" 182.464297575556 755.822977552925 4 2 21 4
"64" 183.460644304218 769.084925585736 4 2 21 4
"65" 179.475257389572 775.715899602142 4 2 21 4
"66" 179.475257389572 779.694484011985 4 2 21 4
"67" 182.464297575556 788.977847634953 4 2 21 4
"68" 194.420458319495 783.673068421828 4 2 21 4
"69" 203.387578877449 779.694484011985 4 2 21 4
"70" 211.358352706742 779.694484011985 4 2 21 4
"71" 219.329126536035 778.368289208704 4 2 21 4
"72" 222.318166722019 781.020678815266 4 2 21 4
"73" 280.106276984391 698.796601011838 4 2 21 4
"74" 276.120890069744 701.4489906184 4 2 21 4
"75" 269.146462969113 700.122795815119 4 2 21 4
"76" 266.157422783129 692.165626995432 4 2 21 4
"77" 259.182995682498 690.839432192151 4 2 21 4
"78" 260.179342411159 682.882263372464 4 2 21 4
"79" 256.193955496513 678.903678962621 4 2 21 4
"80" 252.208568581867 674.925094552778 4 2 21 4
"81" 253.204915310528 665.64173092981 4 2 21 4
"82" 251.212221853205 664.315536126529 4 2 21 4
"83" 250.215875124543 659.010756913404 4 2 21 4
"84" 255.197608767851 656.358367306842 4 2 21 4
"85" 252.208568581867 653.70597770028 4 2 21 4
"86" 250.215875124543 644.422614077312 4 2 21 4
"87" 255.197608767851 637.791640060907 4 2 21 4
"88" 256.193955496513 632.486860847782 4 2 21 4
"89" 261.175689139821 619.224912814971 4 2 21 4
"90" 267.15376951179 619.224912814971 4 2 21 4
"91" 275.124543341083 616.572523208409 4 2 21 4
"92" 285.088010627698 616.572523208409 4 2 21 4
"93" 292.062437728329 619.224912814971 4 2 21 4
"94" 299.03686482896 625.855886831377 4 2 21 4
"95" 303.022251743607 631.160666044501 4 2 21 4
"96" 305.01494520093 639.117834864188 4 2 21 4
"97" 301.029558286284 639.117834864188 4 2 21 4
