distance_m,detected,plot_y
5,TRUE,0.94
8,TRUE,1.05
12,TRUE,0.98
15,TRUE,1.03
18,TRUE,0.96
22,TRUE,1.06
25,TRUE,0.99
28,TRUE,1.04
31,TRUE,0.95
35,TRUE,1.02
38,TRUE,1.05
42,TRUE,0.97
45,TRUE,1.01
48,TRUE,0.94
52,TRUE,1.04
55,TRUE,0.98
58,TRUE,1.06
62,FALSE,-0.04
65,TRUE,1.03
68,TRUE,0.99
72,FALSE,0.05
75,TRUE,0.95
78,FALSE,0.02
82,FALSE,-0.03
85,TRUE,1.04
88,FALSE,-0.02
92,FALSE,0.03
95,FALSE,-0.05
98,FALSE,0.01
102,FALSE,-0.03
106,FALSE,0.04
110,FALSE,-0.01
115,FALSE,0.05
120,FALSE,-0.04
126,FALSE,0.02
132,FALSE,-0.06
